Price,Location,Square_Feet,Bedrooms,Bathrooms,Year_Built,Lot_Size,Neighborhood,City
439737,Central,3266,3,4,2004,5102,Greenwood,Portland
388938,Northwest,2238,3,1,1984,4406,Greenwood,Portland
451815,Central,2646,4,1,1998,5669,Hawthorne,Portland
521842,Southwest,2292,3,2,2006,5165,Brighton,Seattle
381267,Central,2399,5,2,1992,5043,Greenwood,Portland
381269,Northwest,2063,4,2,1986,4751,Hawthorne,Seattle
526337,Southwest,2278,3,3,2005,5609,Greenwood,San Francisco
461394,Central,2414,3,1,1993,6525,Hawthorne,Seattle
362442,Central,1968,4,2,2006,6014,Brighton,Portland
443404,Northeast,2169,2,2,1987,3572,Brighton,Seattle
362926,Northwest,2176,3,4,2010,7051,Hawthorne,Seattle
362741,Central,2530,3,3,2014,6251,Capitol Hill,San Francisco
419356,Northeast,1773,4,4,2006,5803,Greenwood,Seattle
246937,Southwest,2179,4,4,1983,5924,Capitol Hill,Portland
262006,Northeast,2964,2,2,2021,6084,Greenwood,Seattle
355016,Northeast,2665,4,2,1983,5889,Brighton,San Jose
318973,Central,2739,3,2,1997,4538,Greenwood,Seattle
425139,Central,2209,4,2,2002,6007,Hawthorne,San Jose
327358,Central,2328,3,3,2011,5662,Hawthorne,Portland
287015,Northeast,2600,4,1,1991,5917,Hawthorne,San Jose
517251,Southwest,2824,5,1,1999,4864,Capitol Hill,San Jose
381937,Northwest,1419,2,3,1991,6591,Brighton,San Jose
405402,Northeast,1673,3,3,1987,4939,Brighton,San Jose
286020,Central,2723,3,3,2001,5451,Brighton,San Jose
356449,Northwest,2089,3,2,2006,4992,Hawthorne,Seattle
408873,Southwest,1931,3,3,2020,4502,Brighton,San Francisco
307920,Northwest,1698,4,2,2020,6215,Capitol Hill,San Jose
430055,Central,1977,5,2,1996,4999,Capitol Hill,Portland
351948,Northeast,1639,3,3,2011,5646,Capitol Hill,Portland
376664,Northeast,3036,4,4,2012,4110,Hawthorne,Seattle
351863,Central,2191,4,1,2010,3682,Greenwood,San Francisco
548182,Northeast,2176,4,2,1985,7230,Brighton,San Francisco
398920,Central,2435,3,2,2018,7086,Capitol Hill,San Jose
315383,Northeast,2584,3,2,1988,4895,Greenwood,Portland
465803,Northeast,2578,3,3,2021,5955,Greenwood,Portland
302332,Northeast,2629,3,2,2011,5054,Capitol Hill,Seattle
416709,Southwest,1947,4,3,2015,6167,Capitol Hill,San Jose
243226,Southwest,2080,4,3,1995,4418,Brighton,Portland
293745,Central,2507,3,2,1991,4322,Brighton,San Jose
415748,Southwest,1989,2,2,2020,5521,Greenwood,San Francisco
459077,Central,2197,5,2,1982,5882,Greenwood,San Jose
413709,Northwest,2359,4,1,2006,4801,Greenwood,San Jose
390748,Northwest,2514,5,2,2006,4195,Hawthorne,Seattle
375911,Southwest,1488,2,2,1988,6758,Greenwood,Seattle
281718,Northwest,2485,4,3,1996,5035,Hawthorne,San Francisco
342412,Northwest,2106,4,2,1984,5045,Brighton,San Francisco
363148,Northeast,2482,5,3,2005,6732,Greenwood,San Jose
484569,Northeast,2510,2,2,2000,7741,Brighton,Portland
427489,Central,2843,3,3,1980,5827,Greenwood,San Jose
258956,Northwest,2741,3,4,1980,6379,Brighton,San Francisco
425926,Central,2738,5,2,2014,4361,Greenwood,Seattle
369193,Central,2777,5,3,1988,6230,Hawthorne,Seattle
345846,Northwest,2316,5,3,2002,6354,Capitol Hill,San Francisco
448934,Southwest,2212,5,3,2017,4542,Brighton,San Jose
482479,Northwest,2549,2,3,2020,4965,Brighton,Portland
474502,Northeast,2492,2,2,1983,6723,Capitol Hill,Seattle
332862,Northwest,2076,3,2,1998,5223,Greenwood,San Jose
375263,Southwest,2361,3,1,2016,6923,Hawthorne,Portland
426501,Central,2185,4,2,1984,5519,Hawthorne,San Francisco
478043,Central,1858,5,4,2007,5470,Hawthorne,San Jose
361666,Northeast,2716,3,3,2021,6476,Greenwood,Portland
385147,Northeast,2222,4,2,2002,7552,Brighton,San Jose
311493,Northeast,3019,5,3,2017,6159,Greenwood,Seattle
304303,Central,1549,3,3,2002,5674,Hawthorne,San Francisco
465002,Northeast,1977,3,2,1997,6766,Capitol Hill,Seattle
508499,Northwest,2213,3,1,2008,6835,Hawthorne,Seattle
394239,Central,2654,3,2,2007,6034,Brighton,San Jose
480282,Southwest,2359,4,3,1988,5878,Greenwood,San Francisco
428930,Central,2324,3,3,2018,6201,Greenwood,San Jose
348390,Northwest,1749,2,2,1989,4069,Hawthorne,Portland
428911,Northwest,1737,5,2,1981,4453,Brighton,San Francisco
523042,Northeast,2329,4,3,1992,5740,Brighton,Seattle
397133,Central,1654,3,4,2017,4729,Capitol Hill,Seattle
525171,Central,1987,5,3,2006,5536,Hawthorne,Seattle
190420,Central,2400,3,3,2020,5703,Capitol Hill,San Jose
465752,Southwest,1807,3,2,1999,4518,Greenwood,San Jose
